Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
30/11/1880,-174.2386014,289.0743894,882980116.7,275.785,0.1694685,846.0983333,1.095910783,-0.246176608,-0.16115,-0.569784892,-0.344666667,22.51,25.34,26.9,-0.816840639,28.59,17.56112227,15.28989824,10.98197795,18.79834279,17.20232069,3.746753315,12.23688964,12.29265939,10.70176427
31/12/1880,-173.6388332,289.2047564,885472558.3,275.7975,0.16954675,846.1891667,1.096439142,-0.239211064,-0.156925,-0.569977843,-0.337333333,22.96,25.2,26.77,-0.816329304,28.51,17.55682577,15.28341351,10.9824047,18.79810417,17.2032223,3.746232347,12.23639598,12.29244123,10.70267326
31/01/1881,-173.039065,289.3351233,887965000,275.81,0.169625,846.28,1.0969675,-0.23224552,-0.1527,-0.570170794,-0.33,24.7,25.69,26.87,-0.815817969,28.32,17.55252926,15.27692877,10.98283146,18.79786556,17.2041239,3.745711378,12.23590231,12.29222306,10.70358224
28/02/1881,-174.584204,289.4654903,892125271.7,275.8233333,0.169660583,846.37,1.097384017,-0.237519233,-0.157941667,-0.570363746,-0.331166667,26.09,26.3,26.99,-0.815306635,28.24,17.54823276,15.27044403,10.98325822,18.79762694,17.2050255,3.74519041,12.23540865,12.2920049,10.70449123
31/03/1881,-176.1293429,289.5958572,896285543.3,275.8366667,0.169696167,846.46,1.097800533,-0.242792947,-0.163183333,-0.570556697,-0.332333333,26.4,27.14,27.58,-0.8147953,28.53,17.54393625,15.2639593,10.98368498,18.79738832,17.2059271,3.744669442,12.23491499,12.29178674,10.70540021
30/04/1881,-177.6744819,289.7262242,900445815,275.85,0.16973175,846.55,1.09821705,-0.24806666,-0.168425,-0.570749648,-0.3335,25.49,27.55,28.18,-0.814283965,28.9,17.53963975,15.25747456,10.98411173,18.79714971,17.2068287,3.744148474,12.23442132,12.29156857,10.7063092
31/05/1881,-179.2196208,289.8565911,904606086.7,275.8633333,0.169767333,846.64,1.098633567,-0.253340373,-0.173666667,-0.570942599,-0.334666667,24.41,26.97,28.03,-0.81377263,29.06,17.53534324,15.25098982,10.98453849,18.79691109,17.2077303,3.743627505,12.23392766,12.29135041,10.70721818
30/06/1881,-180.7647598,289.9869581,908766358.3,275.8766667,0.169802917,846.73,1.099050083,-0.258614087,-0.178908333,-0.57113555,-0.335833333,23.14,26.51,27.92,-0.813261295,28.89,17.53104674,15.24450509,10.98496525,18.79667247,17.2086319,3.743106537,12.233434,12.29113225,10.70812717
31/07/1881,-182.3098988,290.117325,912926630,275.89,0.1698385,846.82,1.0994666,-0.2638878,-0.18415,-0.571328501,-0.337,21.76,25.35,26.96,-0.81274996,28.44,17.52675023,15.23802035,10.98539201,18.79643386,17.2095335,3.742585569,12.23294033,12.29091408,10.70903616
31/08/1881,-183.8550377,290.247692,917086901.7,275.9033333,0.169874083,846.91,1.099883117,-0.269161513,-0.189391667,-0.571521453,-0.338166667,20.48,24.68,26.71,-0.812238626,28.5,17.52245373,15.23153561,10.98581876,18.79619524,17.2104351,3.742064601,12.23244667,12.29069592,10.70994514
